시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
서울특별시 서초구 서초동,1687,유원서초,84.82,202506,217000,2,1993,서초중앙로24길 43,25.66,8456.74,6342.56,37.49631155,127.0182698
서울특별시 서초구 서초동,1487-63,서초1차e-편한세상,130.53,202506,240000,1,2004,명달로6길 31,39.49,6077.49,4558.12,37.48111632,127.0068021
서울특별시 서초구 서초동,1332-13,래미안서초에스티지,125.79,202506,370000,24,2016,서운로 107,38.05,9724.05,7293.04,37.49268677,127.0252398
서울특별시 서초구 서초동,1362-10,서초노블레스아파트,26.74,202506,49500,10,2019,강남대로39길 15-11,8.09,6118.67,4589.0,37.48557912,127.0325413
서울특별시 서초구 서초동,1648-2,서초현대,53.01,202506,123500,3,1999,사임당로19길 10,16.04,7699.5,5774.62,37.49087735,127.0202029
서울특별시 서초구 서초동,1521-8,서초에스케이뷰,97.21,202506,160000,8,2006,반포대로21길 62,29.41,5440.33,4080.25,37.48617342,127.0074152
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,37.49754834,127.0224702
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,37.51992217,127.0537632
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,37.52004846,127.0514408
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,37.51871712,127.0521224
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,35.17843566,126.9263095
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,313000,7,1979,서초대로 385,30.65,10212.07,7659.05,37.23769259,127.2170337
서울특별시 서초구 서초동,1642-14,서초롯데캐슬84,208.63,202506,347000,4,2001,사임당로17길 90,63.11,5498.34,4123.76,37.49245881,127.018242
서울특별시 서초구 서초동,1755,래미안 리더스원,114.94,202506,417000,28,2020,서운로 62,34.77,11993.1,8994.83,37.49037268,127.0283407
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,133.45,202506,335000,22,2006,서운로 197,40.37,8298.24,6223.68,37.50005278,127.0214437
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,133.45,202506,335000,22,2006,서운로 197,40.37,8298.24,6223.68,37.50124174,127.0231798
서울특별시 서초구 서초동,1301-6,래미안서초스위트,84.9722,202506,292000,11,2009,서운로 221,25.7,11361.87,8521.4,37.50229148,127.0205043
서울특별시 서초구 서초동,1682,서초래미안,84.95,202506,275000,6,2003,서초대로65길 13-10,25.7,10700.39,8025.29,37.49857713,127.0188816
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,74.3,202506,238000,1,2006,서운로 200,22.48,10587.19,7940.39,37.50005278,127.0214437
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,74.3,202506,238000,1,2006,서운로 200,22.48,10587.19,7940.39,37.50124174,127.0231798
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.60005608,127.0107061
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.48467473,127.0286241
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.51715017,127.0443315
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.50684034,127.0622562
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.50263112,127.1257983
서울특별시 서초구 서초동,1355-24,우정에쉐르,72.44,202506,99000,2,2004,서운로3길 29,21.91,4518.48,3388.86,37.56114326,126.6527768
서울특별시 서초구 서초동,1682,서초래미안,84.97,202506,275000,22,2003,서초대로65길 13-10,25.7,10700.39,8025.29,37.49857713,127.0188816
서울특별시 서초구 서초동,1529,서초2차e-편한세상,123.118,202506,215000,4,2005,효령로49길 57,37.24,5773.36,4330.02,37.48619318,127.0089941
서울특별시 서초구 서초동,1363-25,한라비발디스튜디오193,19.99,202506,25500,11,2013,강남대로39길 15-10,6.05,4214.88,3161.16,37.4856506,127.0321031
서울특별시 서초구 서초동,1509-1,서초한빛삼성,99.09,202506,203000,7,1999,서초대로40길 72,29.97,6773.44,5080.08,37.48831427,127.0080005
서울특별시 서초구 서초동,1682,서초래미안,126.31,202506,300000,16,2003,서초대로65길 13-10,38.21,7851.35,5888.51,37.49857713,127.0188816
서울특별시 서초구 서초동,1498-5,"마제스타시티(힐스테이트서리풀101,102동)",59.97,202506,194500,3,2017,서초대로38길 12,18.14,10722.16,8041.62,37.49017011,127.0057196
서울특별시 서초구 서초동,1615-10,극동스타클래스2,81.065,202506,143000,3,2006,효령로67길 35,24.52,5831.97,4373.98,37.48899269,127.0228467
서울특별시 서초구 서초동,1582-16,서초아트래디앙,48.5,202506,147500,12,2023,반포대로18길 13-3,14.67,10054.53,7540.9,,
서울특별시 서초구 서초동,1362-10,서초노블레스아파트,28.85,202506,50000,13,2019,강남대로39길 15-11,8.73,5727.38,4295.53,37.48557912,127.0325413
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.60575474,127.034644
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.58136041,127.0174417
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.49298076,127.0207669
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.50054945,127.1459577
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.50280592,127.1360595
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,35.13390408,126.9306696
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,35.12195137,126.893511
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,35.19301549,126.8928533
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,37.52088874,126.7979632
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,36.3546763,126.5995682
서울특별시 서초구 서초동,1641-13,아남,84.38,202506,200000,4,1989,사임당로23길 53,25.52,7836.99,5877.74,35.19682161,128.8146949
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.49754834,127.0224702
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51992217,127.0537632
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.52004846,127.0514408
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51871712,127.0521224
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,35.17843566,126.9263095
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.23769259,127.2170337
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.49754834,127.0224702
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51992217,127.0537632
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.52004846,127.0514408
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51871712,127.0521224
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,35.17843566,126.9263095
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.23769259,127.2170337
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.49754834,127.0224702
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51992217,127.0537632
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.52004846,127.0514408
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.51871712,127.0521224
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,35.17843566,126.9263095
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202506,299000,10,1979,서초대로 385,30.65,9755.3,7316.47,37.23769259,127.2170337
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.60575474,127.034644
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.58136041,127.0174417
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.49298076,127.0207669
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.50054945,127.1459577
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.50280592,127.1360595
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,35.13390408,126.9306696
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,35.12195137,126.893511
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,35.19301549,126.8928533
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,37.52088874,126.7979632
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,36.3546763,126.5995682
서울특별시 서초구 서초동,1641-13,아남,84.96,202506,180000,8,1989,사임당로23길 53,25.7,7003.89,5252.92,35.19682161,128.8146949
서울특별시 서초구 서초동,1682,서초래미안,84.97,202506,263000,9,2003,서초대로65길 13-10,25.7,10233.46,7675.09,37.49857713,127.0188816
서울특별시 서초구 서초동,1682,서초래미안,127.66,202506,299500,9,2003,서초대로65길 13-10,38.62,7755.05,5816.29,37.49857713,127.0188816
서울특별시 서초구 서초동,1682,서초래미안,127.66,202506,299500,9,2003,서초대로65길 13-10,38.62,7755.05,5816.29,37.49857713,127.0188816
서울특별시 서초구 서초동,1754,래미안서초에스티지S,84.8,202506,324000,5,2018,서운로 104,25.65,12631.58,9473.68,37.49316606,127.0270147
서울특별시 서초구 서초동,1301-6,래미안서초스위트,95.8079,202506,307000,11,2009,서운로 221,28.98,10593.51,7945.13,37.50229148,127.0205043
서울특별시 서초구 서초동,1301-6,래미안서초스위트,95.8079,202506,307000,11,2009,서운로 221,28.98,10593.51,7945.13,37.50229148,127.0205043
서울특별시 서초구 서초동,1301-6,래미안서초스위트,95.8079,202506,307000,11,2009,서운로 221,28.98,10593.51,7945.13,37.50229148,127.0205043
서울특별시 서초구 서초동,1644,현대서초3,84.04,202506,178000,8,1997,사임당로23길 58,25.42,7002.36,5251.77,37.49261834,127.0213912
서울특별시 서초구 서초동,1644,현대서초3,84.04,202506,178000,8,1997,사임당로23길 58,25.42,7002.36,5251.77,37.49261834,127.0213912
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,120.18,202506,330000,16,2006,서운로 197,36.35,9078.4,6808.8,37.50005278,127.0214437
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,120.18,202506,330000,16,2006,서운로 197,36.35,9078.4,6808.8,37.50124174,127.0231798
서울특별시 서초구 서초동,1529,서초2차e-편한세상,116.745,202506,220000,11,2005,효령로49길 57,35.32,6228.77,4671.58,37.48619318,127.0089941
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,120.18,202506,330000,16,2006,서운로 197,36.35,9078.4,6808.8,37.50005278,127.0214437
서울특별시 서초구 서초동,1312-3,롯데캐슬클래식,120.18,202506,330000,16,2006,서운로 197,36.35,9078.4,6808.8,37.50124174,127.0231798
서울특별시 서초구 서초동,1685,삼풍아파트,79.47,202506,320000,4,1988,서초중앙로 200,24.04,13311.15,9983.36,37.49853608,127.0156106
서울특별시 서초구 서초동,1685,삼풍아파트,130.23,202506,355000,1,1988,서초중앙로 200,39.39,9012.44,6759.33,37.49853608,127.0156106
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,37.49754834,127.0224702
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,37.51992217,127.0537632
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,37.52004846,127.0514408
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,37.51871712,127.0521224
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,35.17843566,126.9263095
서울특별시 서초구 서초동,1315,진흥아파트,101.32,202505,298000,10,1979,서초대로 385,30.65,9722.68,7292.01,37.23769259,127.2170337
서울특별시 서초구 서초동,1682,서초래미안,111.32,202505,295000,19,2003,서초대로65길 13-10,33.67,8761.51,6571.13,37.49857713,127.0188816
서울특별시 서초구 서초동,1755,래미안 리더스원,114.7,202505,403000,12,2020,서운로 62,34.7,11613.83,8710.37,37.49037268,127.0283407
