시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202507,50800,4,2023,하늘달빛로 139,25.71,1975.88,1481.91,,
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506,28700,17,2012,은하수로 377,17.89,1604.25,1203.19,,
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506,29000,14,2019,은하수로 229,18.14,1598.68,1199.01,37.50096772,126.5633496
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9819,202506,50000,6,2023,하늘달빛로 139,25.71,1944.77,1458.58,,
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,84.963,202506,46900,13,2022,흰바위로 203,25.7,1824.9,1368.68,,
인천광역시 중구 답동,Apr-43,아르누보,78.6,202506,23500,10,2019,제물량로 121-1,23.78,988.23,741.17,37.46858473,126.6298478
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202506,52500,6,2023,하늘달빛로 139,25.71,2042.01,1531.51,,
인천광역시 중구 중산동,1872-2,인천영종동보노빌리티,84.573,202506,36300,1,2012,하늘달빛로 65,25.58,1419.08,1064.31,,
인천광역시 중구 중산동,1881-2,스카이시티자이,98.9437,202506,54700,16,2018,하늘별빛로 111,29.93,1827.6,1370.7,37.49119145,126.5588753
인천광역시 중구 중산동,1881-1,하늘도시우미린1단지,59.96,202506,30000,32,2012,은하수로 351,18.14,1653.8,1240.35,37.4928492,126.5563651
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,51.74,202506,21735,5,2001,흰바위로 34,15.65,1388.82,1041.62,37.49112942,126.4889713
인천광역시 중구 중산동,1879-1,영종하늘도시KCC스위첸,84.774,202506,45000,13,2019,은하수로 380,25.64,1755.07,1316.3,,
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506,30000,11,2019,은하수로 229,18.14,1653.8,1240.35,37.50096772,126.5633496
인천광역시 중구 신흥동3가,7-235,신흥아이파크,84.966,202506,26500,4,2002,인항로 30,25.7,1031.13,773.35,37.45631182,126.6333395
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506,30500,26,2019,은하수로 229,18.14,1681.37,1261.03,37.50096772,126.5633496
인천광역시 중구 중산동,1887-4,e편한세상영종국제도시오션하임,84.9515,202506,44000,9,2018,두미포로 112,25.7,1712.06,1284.05,,
인천광역시 중구 운서동,Mar-09,주공스카이빌7단지,51.49,202506,18500,10,2002,신도시북로 18,15.58,1187.42,890.57,37.49619816,126.4860124
인천광역시 중구 중산동,1872-1,영종신명스카이뷰주얼리,56.619,202506,24100,1,2013,하늘달빛로 95,17.13,1406.89,1055.17,37.48617584,126.5569591
