"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-01 ~ 2025-07-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 동래구 낙민동","172","0172","0000","한양","96.4000","202507","10","49,000","-","7","개인","개인","1980","충렬대로 314","-","중개거래","부산 동래구","-"
"2","부산광역시 연제구 거제동","1530","1530","0000","쌍용더플래티넘거제아시아드","84.8050","202507","10","72,000","-","15","개인","개인","2023","아시아드대로 7","-","중개거래","부산 연제구","-"
"3","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","84.9971","202507","10","29,000","-","13","개인","개인","2012","정관4로 24","-","중개거래","부산 기장군","-"
"4","부산광역시 금정구 부곡동","235-5","0235","0005","우신뉴타운","59.8200","202507","10","22,500","-","18","개인","개인","1995","중앙대로1667번길 8","-","중개거래","부산 금정구, 부산 부산진구","-"
"5","부산광역시 사상구 모라동","1362","1362","0000","우신모라","47.3700","202507","10","10,000","-","10","개인","개인","1992","백양대로 880","-","중개거래","부산 사상구","-"
"6","부산광역시 연제구 연산동","2352","2352","0000","연산더샵","74.9041","202507","10","54,000","-","2","개인","개인","2019","연수로 130","-","중개거래","부산 부산진구, 부산 연제구","-"
"7","부산광역시 사상구 엄궁동","680-1","0680","0001","코오롱","59.9400","202507","10","15,500","-","14","개인","개인","1999","엄궁로 142","-","중개거래","부산 사상구","-"
"8","부산광역시 강서구 명지동","3415","3415","0000","명지국제신도시호반베르디움1차","74.8162","202507","10","41,000","-","2","개인","개인","2016","명지국제5로 29","-","중개거래","부산 강서구","-"
"9","부산광역시 북구 화명동","1150","1150","0000","동원로얄듀크","84.9949","202507","10","36,000","-","14","개인","개인","2004","금곡대로 228","-","중개거래","부산 북구","-"
"10","부산광역시 동래구 온천동","1838","1838","0000","동래효성해링턴플레이스","84.6112","202507","10","56,900","-","8","개인","개인","2019","아시아드대로255번길 14","-","중개거래","부산 동래구","-"
"11","부산광역시 강서구 명지동","3361","3361","0000","에일린의 뜰","84.9950","202507","10","44,400","-","3","개인","개인","2015","명지국제5로 60","-","중개거래","부산 강서구","-"
"12","부산광역시 동래구 온천동","1838","1838","0000","동래효성해링턴플레이스","84.6112","202507","10","56,900","-","8","개인","개인","2019","아시아드대로255번길 14","20250710","중개거래","부산 동래구","-"
"13","부산광역시 부산진구 부암동","751","0751","0000","협성휴포레시티즌파크","84.9712","202507","10","47,800","-","28","개인","개인","2020","동평로 173","-","중개거래","부산 동래구, 부산 부산진구","-"
"14","부산광역시 사하구 신평동","669","0669","0000","사하뷰웰","74.9600","202507","10","23,350","-","8","개인","개인","2016","신산북로43번길 59","-","중개거래","부산 사하구","-"
"15","부산광역시 수영구 남천동","595","0595","0000","남천금호어울림더비치","84.9400","202507","09","81,800","-","3","개인","개인","2019","남천동로 91","-","중개거래","부산 남구, 부산 수영구","-"
"16","부산광역시 부산진구 범천동","1055-1","1055","0001","서면라이포레","50.0095","202507","09","22,300","-","6","개인","개인","2017","신천대로165번길 10","-","중개거래","부산 부산진구","-"
"17","부산광역시 연제구 연산동","2362","2362","0000","시청역비스타동원","84.9890","202507","09","59,500","-","13","개인","개인","2019","연제로 30","-","중개거래","부산 연제구","-"
"18","부산광역시 금정구 구서동","1078","1078","0000","구서역두산위브포세이돈","74.9395","202507","09","44,500","-","5","개인","개인","2020","금정로233번길 63","-","중개거래","부산 금정구","-"
"19","부산광역시 동래구 안락동","15-26","0015","0026","안락현대","84.8300","202507","09","32,000","-","6","개인","개인","2001","삼어로 9","-","중개거래","부산 동래구","-"
"20","부산광역시 북구 화명동","2306","2306","0000","대림쌍용강변타운","84.9200","202507","09","44,200","-","6","개인","개인","2004","화명신도시로 39","-","중개거래","부산 북구","-"
"21","부산광역시 남구 대연동","282-1","0282","0001","대연극동StarClass","59.7300","202507","09","21,800","-","2","개인","개인","2002","진남로36번길 50","-","중개거래","부산 남구","-"
"22","부산광역시 남구 대연동","1893","1893","0000","대연파크푸르지오","84.9866","202507","09","55,300","-","15","개인","개인","2018","홍곡로 360","-","중개거래","부산 남구","-"
"23","부산광역시 동래구 낙민동","94-1","0094","0001","동원로얄듀크","59.9550","202507","09","29,400","-","15","개인","개인","1998","온천천로399번길 14","-","중개거래","부산 동래구","-"
"24","부산광역시 서구 남부민동","685","0685","0000","현대타운","84.4500","202507","09","27,500","-","8","개인","개인","1999","충무대로 246","-","중개거래","부산 서구","-"
"25","부산광역시 북구 화명동","2262","2262","0000","대우이안","59.9011","202507","09","34,900","-","4","개인","개인","2002","화명신도시로 145","-","중개거래","부산 북구","-"
"26","부산광역시 해운대구 재송동","1146-1","1146","0001","재송그린","36.3300","202507","09","10,000","-","2","개인","개인","1984","재반로118번길 71","-","직거래","-","-"
