시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202507.0,50800.0,4.0,2023.0,하늘달빛로 139,25.71,1975.88,1481.91,37.4899964269,126.5517903489
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202507.0,50800.0,4.0,2023.0,하늘달빛로 139,25.71,1975.88,1481.91,37.4899964269,126.5517903489
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506.0,28700.0,17.0,2012.0,은하수로 377,17.89,1604.25,1203.19,37.4907001908,126.5535730631
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506.0,28700.0,17.0,2012.0,은하수로 377,17.89,1604.25,1203.19,37.4907001908,126.5535730631
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,29000.0,14.0,2019.0,은하수로 229,18.14,1598.68,1199.01,37.50096772,126.5633496
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9819,202506.0,50000.0,6.0,2023.0,하늘달빛로 139,25.71,1944.77,1458.58,37.4899964269,126.5517903489
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9819,202506.0,50000.0,6.0,2023.0,하늘달빛로 139,25.71,1944.77,1458.58,37.4899964269,126.5517903489
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,84.963,202506.0,46900.0,13.0,2022.0,흰바위로 203,25.7,1824.9,1368.68,37.4814237236,126.5009403204
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,84.963,202506.0,46900.0,13.0,2022.0,흰바위로 203,25.7,1824.9,1368.68,37.4814237236,126.5009403204
인천광역시 중구 답동,Apr-43,아르누보,78.6,202506.0,23500.0,10.0,2019.0,제물량로 121-1,23.78,988.23,741.17,37.46858473,126.6298478
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202506.0,52500.0,6.0,2023.0,하늘달빛로 139,25.71,2042.01,1531.51,37.4899964269,126.5517903489
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202506.0,52500.0,6.0,2023.0,하늘달빛로 139,25.71,2042.01,1531.51,37.4899964269,126.5517903489
인천광역시 중구 중산동,1872-2,인천영종동보노빌리티,84.573,202506.0,36300.0,1.0,2012.0,하늘달빛로 65,25.58,1419.08,1064.31,37.4847517664,126.5586526625
인천광역시 중구 중산동,1872-2,인천영종동보노빌리티,84.573,202506.0,36300.0,1.0,2012.0,하늘달빛로 65,25.58,1419.08,1064.31,37.4847517664,126.5586526625
인천광역시 중구 중산동,1881-2,스카이시티자이,98.9437,202506.0,54700.0,16.0,2018.0,하늘별빛로 111,29.93,1827.6,1370.7,37.49119145,126.5588753
인천광역시 중구 중산동,1881-1,하늘도시우미린1단지,59.96,202506.0,30000.0,32.0,2012.0,은하수로 351,18.14,1653.8,1240.35,37.4928492,126.5563651
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,51.74,202506.0,21735.0,5.0,2001.0,흰바위로 34,15.65,1388.82,1041.62,37.49112942,126.4889713
인천광역시 중구 중산동,1879-1,영종하늘도시KCC스위첸,84.774,202506.0,45000.0,13.0,2019.0,은하수로 380,25.64,1755.07,1316.3,37.4925902871,126.5527811262
인천광역시 중구 중산동,1879-1,영종하늘도시KCC스위첸,84.774,202506.0,45000.0,13.0,2019.0,은하수로 380,25.64,1755.07,1316.3,37.4925902871,126.5527811262
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,30000.0,11.0,2019.0,은하수로 229,18.14,1653.8,1240.35,37.50096772,126.5633496
인천광역시 중구 신흥동3가,7-235,신흥아이파크,84.966,202506.0,26500.0,4.0,2002.0,인항로 30,25.7,1031.13,773.35,37.45631182,126.6333395
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,30500.0,26.0,2019.0,은하수로 229,18.14,1681.37,1261.03,37.50096772,126.5633496
인천광역시 중구 중산동,1887-4,e편한세상영종국제도시오션하임,84.9515,202506.0,44000.0,9.0,2018.0,두미포로 112,25.7,1712.06,1284.05,37.4942660103,126.5665961943
인천광역시 중구 중산동,1887-4,e편한세상영종국제도시오션하임,84.9515,202506.0,44000.0,9.0,2018.0,두미포로 112,25.7,1712.06,1284.05,37.4942660103,126.5665961943
