시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202507.0,50800.0,4.0,2023.0,하늘달빛로 139,25.71,1975.88,1481.91,37.489996426937,126.551790348911
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506.0,28700.0,17.0,2012.0,은하수로 377,17.89,1604.25,1203.19,37.4907001907671,126.553573063148
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,29000.0,14.0,2019.0,은하수로 229,18.14,1598.68,1199.01,37.5009129852009,126.562911637664
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9819,202506.0,50000.0,6.0,2023.0,하늘달빛로 139,25.71,1944.77,1458.58,37.489996426937,126.551790348911
인천광역시 중구 운서동,Jan-04,운서SKVIEWSkycity,84.963,202506.0,46900.0,13.0,2022.0,흰바위로 203,25.7,1824.9,1368.68,37.4814237236255,126.500940320393
인천광역시 중구 답동,Apr-43,아르누보,78.6,202506.0,23500.0,10.0,2019.0,제물량로 121-1,23.78,988.23,741.17,37.4686427041114,126.629886401528
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,84.9927,202506.0,52500.0,6.0,2023.0,하늘달빛로 139,25.71,2042.01,1531.51,37.489996426937,126.551790348911
인천광역시 중구 중산동,1872-2,인천영종동보노빌리티,84.573,202506.0,36300.0,1.0,2012.0,하늘달빛로 65,25.58,1419.08,1064.31,37.4847517664153,126.558652662522
인천광역시 중구 중산동,1881-2,스카이시티자이,98.9437,202506.0,54700.0,16.0,2018.0,하늘별빛로 111,29.93,1827.6,1370.7,37.4921945842548,126.558944823086
인천광역시 중구 중산동,1881-1,하늘도시우미린1단지,59.96,202506.0,30000.0,32.0,2012.0,은하수로 351,18.14,1653.8,1240.35,37.4933025218857,126.555022507777
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,51.74,202506.0,21735.0,5.0,2001.0,흰바위로 34,15.65,1388.82,1041.62,,
인천광역시 중구 중산동,1879-1,영종하늘도시KCC스위첸,84.774,202506.0,45000.0,13.0,2019.0,은하수로 380,25.64,1755.07,1316.3,,
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,30000.0,11.0,2019.0,은하수로 229,18.14,1653.8,1240.35,,
인천광역시 중구 신흥동3가,7-235,신흥아이파크,84.966,202506.0,26500.0,4.0,2002.0,인항로 30,25.7,1031.13,773.35,,
인천광역시 중구 중산동,Feb-11,영종국제도시한신더휴스카이파크,59.9824,202506.0,30500.0,26.0,2019.0,은하수로 229,18.14,1681.37,1261.03,,
인천광역시 중구 중산동,1887-4,e편한세상영종국제도시오션하임,84.9515,202506.0,44000.0,9.0,2018.0,두미포로 112,25.7,1712.06,1284.05,,
인천광역시 중구 운서동,Mar-09,주공스카이빌7단지,51.49,202506.0,18500.0,10.0,2002.0,신도시북로 18,15.58,1187.42,890.57,,
인천광역시 중구 중산동,1872-1,영종신명스카이뷰주얼리,56.619,202506.0,24100.0,1.0,2013.0,하늘달빛로 95,17.13,1406.89,1055.17,,
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,59.64,202506.0,21367.0,1.0,2001.0,흰바위로 34,18.04,1184.42,888.32,,
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,64.643,202506.0,35450.0,4.0,2019.0,은하수로 412,19.55,1813.3,1359.98,,
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,59.64,202506.0,22655.0,2.0,2001.0,흰바위로 34,18.04,1255.82,941.86,,
인천광역시 중구 운서동,Jun-88,영종주공스카이빌10단지,51.74,202506.0,16705.0,1.0,2001.0,흰바위로 34,15.65,1067.41,800.56,,
인천광역시 중구 중산동,1881-1,하늘도시우미린1단지,59.55,202506.0,28300.0,20.0,2012.0,은하수로 351,18.01,1571.35,1178.51,,
인천광역시 중구 운서동,Aug-08,풍림아이원6-2단지,59.9919,202506.0,16800.0,3.0,2002.0,신도시북로 68,18.15,925.62,694.22,,
인천광역시 중구 중산동,1878-1,인천영종한양수자인,59.127,202506.0,28000.0,25.0,2012.0,은하수로 377,17.89,1565.12,1173.84,,
인천광역시 중구 중산동,1881-2,스카이시티자이,91.8393,202506.0,51000.0,17.0,2018.0,하늘별빛로 111,27.78,1835.85,1376.89,,
인천광역시 중구 중산동,1889-2,영종국제도시화성파크드림,84.7363,202506.0,49500.0,36.0,2019.0,하늘별빛로 112,25.63,1931.33,1448.5,,
인천광역시 중구 운남동,1550,영종자이,167.8677,202506.0,52000.0,12.0,2009.0,운남서로 7,50.78,1024.03,768.02,,
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,74.8393,202506.0,39200.0,4.0,2019.0,은하수로 412,22.64,1731.45,1298.59,,
인천광역시 중구 운남동,1779,영종센트럴푸르지오자이,64.643,202506.0,37500.0,21.0,2019.0,은하수로 412,19.55,1918.16,1438.62,,
인천광역시 중구 중산동,1871-1,e편한세상영종국제도시센텀베뉴,98.0425,202506.0,59800.0,2.0,2023.0,하늘달빛로 139,29.66,2016.18,1512.14,,
